('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163976 function calls (159127 primitive calls) in 0.979 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1340    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      292    0.000    0.000    0.015    0.000 response.py:619(_decode)
      331    0.000    0.000    0.000    0.000 enum.py:829(__setattr__)
     2331    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       80    0.000    0.000    0.002    0.000 _compiler.py:514(_compile_info)
      253    0.000    0.000    0.003    0.000 response.py:600(_init_decoder)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       18    0.000    0.000    0.479    0.027 __init__.py:1(<module>)
      142    0.000    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1215(get_data)
      771    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     1471    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
    401/4    0.000    0.000    0.206    0.052 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      292    0.000    0.000    0.000    0.000 response.py:395(put)
     1568    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       80    0.000    0.000    0.031    0.000 _compiler.py:743(compile)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
     1405    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.002    0.000 typing.py:2998(__new__)
     2204    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      826    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      284    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
  170/166    0.000    0.000    0.055    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1942    0.000    0.000    0.000    0.000 {built-in method builtins.min}
    142/2    0.000    0.000    0.207    0.104 <frozen importlib._bootstrap_external>:1021(exec_module)
      334    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
        1    0.000    0.000    0.004    0.004 packages.py:1(<module>)
       80    0.000    0.000    0.019    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
