('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163976 function calls (159127 primitive calls) in 1.233 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      298    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      294    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
      294    0.001    0.000    0.001    0.000 _collections.py:257(__getitem__)
      292    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      292    0.000    0.000    0.001    0.000 response.py:395(put)
      292    0.001    0.000    0.019    0.000 response.py:619(_decode)
      291    0.003    0.000    0.018    0.000 response.py:137(decompress)
      289    0.014    0.000    0.014    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      284    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      284    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      279    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      277    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      274    0.000    0.000    0.000    0.000 typing.py:1368(__setattr__)
      273    0.000    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
      266    0.000    0.000    0.000    0.000 enum.py:1217(__init__)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      256    0.000    0.000    0.000    0.000 response.py:187(has_unconsumed_tail)
      255    0.000    0.000    0.000    0.000 response.py:9(is_fp_closed)
      255    0.000    0.000    0.206    0.001 models.py:816(generate)
      255    0.001    0.000    0.206    0.001 response.py:1227(stream)
      253    0.001    0.000    0.001    0.000 response.py:399(get)
      253    0.002    0.000    0.205    0.001 response.py:1061(read)
      253    0.000    0.000    0.003    0.000 response.py:600(_init_decoder)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      238    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      228    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      220    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      211    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      210    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      210    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      210    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      194    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
      192    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      192    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      192    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
    192/2    0.001    0.000    0.206    0.103 <frozen importlib._bootstrap>:1349(_find_and_load)
      191    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      191    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
    191/2    0.001    0.000    0.206    0.103 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      190    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      190    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      190    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      187    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
